"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
 ",Continent
World,2409827,3252,165109,78,629235,1615483,54216,309,212,,,All
USA,764265,,40565,,71012,652688,13566,2309,123,3861596,11666,North America
Spain,198674,,20453,,77357,100864,7371,4249,437,930230,19896,Europe
Italy,178972,,23660,,47055,108257,2635,2960,391,1356541,22436,Europe
France,152894,,19718,,36578,96598,5744,2342,302,463662,7103,Europe
Germany,145743,1,4642,,91500,49601,2889,1740,55,1728357,20629,Europe
UK,120067,,16060,,,103663,1559,1769,237,482063,7101,Europe
Turkey,86306,,2017,,11976,72313,1922,1023,24,634277,7521,Asia
Iran,82211,,5118,,57023,20070,3456,979,61,341662,4068,Asia
Russia,42853,,361,,3291,39201,8,294,2,1940000,13294,Europe
Brazil,38654,,2462,,22130,14062,6634,182,12,62985,296,South America
Belgium,38496,,5683,,8757,24056,1081,3322,490,153778,13269,Europe
Canada,35056,,1587,,11843,21626,557,929,42,549349,14555,North America
Netherlands,32655,,3684,,250,28721,1176,1906,215,154911,9041,Europe
Switzerland,27740,,1393,,17800,8547,386,3205,161,221263,25566,Europe
Portugal,20206,,714,,610,18882,224,1982,70,235878,23133,Europe
India,17615,,559,,2854,14202,,13,04,401586,291,Asia
Peru,15628,,400,,6811,8417,167,474,12,143745,4360,South America
Ireland,15251,,610,,77,14564,294,3089,124,90646,18358,Europe
Austria,14749,,452,,10501,3796,204,1638,50,179243,19902,Europe
Sweden,14385,,1540,,550,12295,450,1424,152,74600,7387,Europe
Israel,13654,163,173,1,3872,9609,150,1577,20,187250,21634,Asia
Japan,10797,,236,,1159,9402,217,85,2,112816,892,Asia
S. Korea,10674,13,236,2,8114,2324,55,208,5,563035,10982,Asia
Chile,10088,,133,,4338,5617,360,528,7,113649,5945,South America
Ecuador,9468,,474,,1061,7933,124,537,27,31809,1803,South America
Saudi Arabia,9362,,97,,1398,7867,97,269,3,180000,5170,Asia
Poland,9287,,360,,1133,7794,160,245,10,204246,5397,Europe
Romania,8746,,451,,1892,6403,256,455,23,93611,4866,Europe
Pakistan,8418,70,176,8,1970,6272,46,38,08,104302,472,Asia
Mexico,8261,764,686,36,2627,4948,207,64,5,49570,384,North America
Singapore,8014,1426,11,,768,7235,22,1370,2,94796,16203,Asia
Denmark,7384,,355,,4141,2888,84,1275,61,94277,16277,Europe
Norway,7103,25,165,,32,6906,58,1310,30,142166,26224,Europe
Czechia,6787,41,188,2,1311,5288,84,634,18,172123,16073,Europe
UAE,6781,,41,,1286,5454,1,686,4,767000,77550,Asia
Australia,6619,7,71,,4258,2290,49,260,3,431734,16931,Australia/Oceania
Indonesia,6575,,582,,686,5307,,24,2,42219,154,Asia
Serbia,6318,,122,,753,5443,120,723,14,38701,4429,Europe
Philippines,6259,,409,,572,5278,1,57,4,59928,547,Asia
Ukraine,5710,261,151,10,359,5200,45,131,3,58093,1328,Europe
Qatar,5448,,8,,518,4922,37,1891,3,62538,21707,Asia
Malaysia,5389,,89,,3197,2103,46,167,3,103892,3210,Asia
Belarus,4779,,47,,494,4238,65,506,5,98231,10396,Europe
Dominican Republic,4680,,226,,363,4091,114,431,21,15583,1436,North America
Panama,4467,194,126,6,165,4176,98,1035,29,19091,4425,North America
Colombia,3792,,179,,711,2902,98,75,4,62746,1233,South America
Finland,3783,,94,,1700,1989,68,683,17,57300,10342,Europe
Luxembourg,3550,,73,,627,2850,31,5671,117,33666,53781,Europe
South Africa,3158,,54,,903,2201,36,53,09,114711,1934,Africa
Egypt,3144,,239,,732,2173,,31,2,55000,537,Africa
Argentina,2941,,134,,709,2098,123,65,3,32712,724,South America
Morocco,2855,,141,,327,2387,1,77,4,15123,410,Africa
Thailand,2792,27,47,,1999,746,61,40,07,142589,2043,Asia
Algeria,2629,,375,,1047,1207,40,60,9,6500,148,Africa
Moldova,2472,,67,,457,1948,80,613,17,10488,2600,Europe
Bangladesh,2456,,91,,75,2290,1,15,06,23941,145,Asia
Greece,2235,,113,,269,1853,67,214,11,53290,5113,Europe
Hungary,1984,68,199,10,267,1518,60,205,21,48057,4975,Europe
Kuwait,1915,,7,,305,1603,38,448,2,,,Asia
Bahrain,1881,,7,,759,1115,2,1105,4,85126,50028,Asia
Croatia,1871,,47,,709,1115,23,456,11,24186,5891,Europe
Iceland,1771,,9,,1291,471,3,5190,26,41091,120416,Europe
Kazakhstan,1757,81,19,2,413,1325,22,94,1,100878,5373,Asia
Uzbekistan,1565,,5,,225,1335,8,47,01,136000,4063,Asia
Iraq,1539,,82,,1009,448,,38,2,56147,1396,Asia
Estonia,1528,,40,,164,1324,10,1152,30,40333,30405,Europe
New Zealand,1440,9,12,,974,454,3,299,2,86305,17897,Australia/Oceania
Oman,1410,144,7,,238,1165,3,276,1,,,Asia
Azerbaijan,1398,,19,,712,667,21,138,2,95747,9443,Asia
Armenia,1339,48,22,2,580,737,30,452,7,13373,4513,Asia
Slovenia,1330,,74,,192,1064,26,640,36,41265,19849,Europe
Lithuania,1326,28,37,2,242,1047,14,487,14,66352,24374,Europe
Bosnia and Herzegovina,1285,,48,,347,890,4,392,15,17818,5431,Europe
North Macedonia,1207,,51,,179,977,15,579,24,11870,5697,Europe
Slovakia,1161,,12,,229,920,10,213,2,44278,8110,Europe
Ghana,1042,,9,,99,934,4,34,03,68591,2207,Africa
Cuba,1035,,34,,255,746,16,91,3,26982,2382,North America
